dataset,method,ap,f1,iou,precision,recall,fpr95
SMIYC RoadObstacle,roadcontrast,0.116859,0.173884,0.110789,0.142761,0.369001,0.454003
SMIYC RoadObstacle,roadcontrast_eras_light,0.145749,0.192140,0.130594,0.211544,0.372439,0.454094
SMIYC RoadObstacle,dino,0.520342,0.522848,0.399836,0.478077,0.686376,0.026794
SMIYC RoadObstacle,dino_eras_light,0.527066,0.523235,0.398898,0.469291,0.752379,0.025553
SMIYC RoadObstacle,dino_eras_balanced,0.497542,0.503943,0.382524,0.431118,0.806182,0.026276
RoadAnomaly21,roadcontrast,0.369797,0.447272,0.305866,0.402180,0.618770,0.640885
RoadAnomaly21,roadcontrast_eras_light,0.371738,0.452876,0.309502,0.411449,0.614183,0.625150
RoadAnomaly21,dino,0.132381,0.311946,0.190717,0.192398,0.931362,0.674916
RoadAnomaly21,dino_eras_light,0.290748,0.434751,0.286460,0.349668,0.762413,0.588855
RoadAnomaly21,dino_eras_balanced,0.322748,0.478239,0.328950,0.364035,0.836864,0.559170
StreetHazards partial,roadcontrast,0.029486,0.063400,0.034290,0.042088,0.415849,0.665579
StreetHazards partial,roadcontrast_eras_light,0.027938,0.061046,0.032982,0.043678,0.402617,0.681363
StreetHazards partial,dino,0.113270,0.158826,0.097458,0.142421,0.478107,0.367100
StreetHazards partial,dino_eras_light,0.069126,0.134367,0.075347,0.107665,0.517682,0.268779
StreetHazards partial,dino_eras_balanced,0.062634,0.129252,0.072177,0.101305,0.543181,0.276874
